,Student name,Image_ID,Dissected?,Replicate,Pop,Assay,Parent_Gen,Incubator_Temp,WB_Temp,Sex,Femur_Length,Wing_Length,Body_Area,Comments,No_wing,No_femur
,Trisha,IMG05344,N,5,4,PA,0,27,23,F,NA,NA,905.708,,,
,Trisha, IMG05345 ,Y,5,4,PA,0,27,23,F,12.392,57.3,NA,,,
,,,,,,,,,,,,,,,,
,,IMG00970,N,1,4,PA,0,27,25,F,NA,NA,650.999,,,
,,IMG00971,Y,1,4,PA,0,27,25,F,13.384,43.649,NA,,,
,,IMG00972,N,2,4,PA,0,27,25,F,NA,NA,614.395,,,
,,IMG00973,Y,2,4,PA,0,27,25,F,12.393,45.639,NA,,,
,,IMG00974,N,3,4,PA,0,27,25,F,NA,NA,654.924,,,
,,IMG00975,Y,3,4,PA,0,27,25,F,12.376,44.03,NA,,,
,Trisha,IMG05374,N,4,4,PA,0,27,25,F,NA,NA,939.558,,,
,Trisha,IMG05375,Y,4,4,PA,0,27,25,F,13.261,51.458,NA,,,
,Trisha,IMG05376,N,5,4,PA,0,27,25,F,NA,NA,1047.92,,,
,Trisha,IMG05377,Y,5,4,PA,0,27,25,F,12.771,55.305,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01024,N,1,4,PA,0,27,27,F,NA,NA,800.945,,,
,,IMG01025,Y,1,4,PA,0,27,27,F,11.419,48.452,NA,,,
,,IMG01026,N,2,4,PA,0,27,27,F,NA,NA,859.962,,,
,,IMG01027,Y,2,4,PA,0,27,27,F,13.084,45.629,NA,,,
,,IMG01028,N,3,4,PA,0,27,27,F,NA,NA,789.156,,,
,,IMG01029,Y,3,4,PA,0,27,27,F,11.164,46.212,NA,,,
,Trisha,IMG05406,N,4,4,PA,0,27,27,F,NA,NA,855.225,,,
,Trisha,IMG05407,Y,4,4,PA,0,27,27,F,11.552,45.425,NA,,,
,Trisha,IMG05408,N,5,4,PA,0,27,27,F,NA,NA,706.586,,,
,Trisha,IMG05409,Y,5,4,PA,0,27,27,F,11.361,48.361,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01078,N,1,4,PA,0,27,29,F,NA,NA,995.557,,,
,,IMG01079,Y,1,4,PA,0,27,29,F,12.995,47.053,NA,,,
,,IMG01080,N,2,4,PA,0,27,29,F,NA,NA,937.029,,,
,,IMG01081,Y,2,4,PA,0,27,29,F,13.331,47.729,NA,,,
,,IMG01082,N,3,4,PA,0,27,29,F,NA,NA,897.469,,,
,,IMG01083,Y,3,4,PA,0,27,29,F,12.706,41.477,NA,,,
,Trisha,IMG05442,N,4,4,PA,0,27,29,F,NA,NA,839.637,,,
,Trisha,IMG05443,Y,4,4,PA,0,27,29,F,11.373,48.326,NA,,,
,Trisha,IMG05444,N,5,4,PA,0,27,29,F,NA,NA,932.939,,,
,Trisha,IMG05445,Y,5,4,PA,0,27,29,F,11.855,49.569,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01126,N,1,4,PA,0,27,31,F,NA,NA,699.774,,,
,,IMG01127,Y,1,4,PA,0,27,31,F,10.22,43.202,NA,,,
,,IMG01128,N,2,4,PA,0,27,31,F,NA,NA,812.564,,,
,,IMG01129,Y,2,4,PA,0,27,31,F,11.479,45.476,NA,,,
,,IMG01130,N,3,4,PA,0,27,31,F,NA,NA,803.136,,,
,,IMG01131,Y,3,4,PA,0,27,31,F,11.067,42.2,NA,,,
,Trisha,IMG05478,N,4,4,PA,0,27,31,F,NA,NA,822.323,,,
,Trisha,IMG05479,Y,4,4,PA,0,27,31,F,12.494,47.181,NA,,,
,Trisha,IMG05480,N,5,4,PA,0,27,31,F,NA,NA,758.387,,,
